CreditConstraintType,Credits,Year,Alternatives,ProgramSpecific,ElecGroup,IneligibleMajors,ReadIfHonours,Notes
AT_LEAST,6,1,MATH100;MATH101,,,,,
AT_LEAST,6,1,BIOL116;BIOL122;BIOL131;BIOL133;CHEM111;CHEM113;EESC111;EESC121;PHYS111;PHYS121,,,,,
AT_LEAST,6,1,COSC111;COSC121,,,,,
AT_LEAST,3,1,DATA101,,,,,
AT_LEAST,6,1,ENGL109;ENGL112;ENGL113;ENGL114;ENGL150;ENGL151;ENGL153;ENGL154;ENGL155;ENGL156;CORH203,,,,,
AT_LEAST,3,1,MATH221,,,,,
AT_LEAST,12,2,MATH200;MATH220;MATH222;MATH225,1,,,,
AT_LEAST,6,2,STAT203;STAT205,1,,,,
AT_LEAST,12,2,ELEC,,,,,
AT_LEAST,3,3,STAT303,,,,,
AT_LEAST,3,3,MATH327,,,,,
AT_LEAST,6,4,MATH303;MATH307;MATH409;COSC304;PHYS420,,,,,
AT_LEAST,3,3,DATA310,,,,,
AT_LEAST,6,3,DATA311;DATA315;DATA405;DATA407;DATA410,,,,,
AT_LEAST,3,3,PHIL331,,,,,
AT_LEAST,6,4,ELEC_UL_SCI,,,,0,
AT_LEAST,3,3,ELEC_UL,,,,,
AT_LEAST,9,3,ELEC,,,,,
AT_LEAST,9,4,STAT400;STAT401;STAT403;STAT406,,,,,
AT_LEAST,9,4,ELEC,,,,,
AT_LEAST,6,4,STAT448,,,,1,
